cell,problem_key,iB,arm,strategy,bound,est_min,est_rule,tag,n_seeds
pedigree41_iB20,pedigree/pedigree41,20,sub4,subsumption,4,50.1,exact,p1-00005010,3
pedigree41_iB20,pedigree/pedigree41,20,sub6,subsumption,6,24.6,exact,p1-00002460,3
pedigree41_iB20,pedigree/pedigree41,20,sub8,subsumption,8,36.6,exact,p1-00003660,3
pedigree51_iB20,pedigree/pedigree51,20,nomerge,nomerge,,129.7,exact,p1-00012970,3
pedigree51_iB20,pedigree/pedigree51,20,nonsub12,non_subsumption,12,102.0,exact,p1-00010200,3
pedigree51_iB20,pedigree/pedigree51,20,rnn10,reduce_nn,10,21.4,exact,p1-00002140,3
pedigree51_iB20,pedigree/pedigree51,20,rnn12,reduce_nn,12,63.7,exact,p1-00006370,3
pedigree51_iB20,pedigree/pedigree51,20,rnn14,reduce_nn,14,74.7,exact,p1-00007470,3
pedigree51_iB20,pedigree/pedigree51,20,rnn2,reduce_nn,2,70.0,exact,p1-00007000,3
pedigree51_iB20,pedigree/pedigree51,20,rnn4,reduce_nn,4,60.9,exact,p1-00006090,3
pedigree51_iB20,pedigree/pedigree51,20,rnn6,reduce_nn,6,41.9,exact,p1-00004190,3
pedigree51_iB20,pedigree/pedigree51,20,rnn8,reduce_nn,8,24.5,exact,p1-00002450,3
pedigree51_iB20,pedigree/pedigree51,20,sub10,subsumption,10,50.7,exact,p1-00005070,3
pedigree51_iB20,pedigree/pedigree51,20,sub12,subsumption,12,52.2,exact,p1-00005220,3
pedigree51_iB20,pedigree/pedigree51,20,sub14,subsumption,14,59.4,exact,p1-00005940,3
pedigree51_iB20,pedigree/pedigree51,20,sub2,subsumption,2,92.7,exact,p1-00009270,3
pedigree51_iB20,pedigree/pedigree51,20,sub4,subsumption,4,64.3,exact,p1-00006430,3
pedigree51_iB20,pedigree/pedigree51,20,sub6,subsumption,6,60.0,exact,p1-00006000,3
pedigree51_iB20,pedigree/pedigree51,20,sub8,subsumption,8,48.1,exact,p1-00004810,3
pedigree34_iB20,pedigree/pedigree34,20,nomerge,nomerge,,69.6,exact,p1-00006960,3
pedigree34_iB20,pedigree/pedigree34,20,nonsub12,non_subsumption,12,68.3,exact,p1-00006830,3
pedigree34_iB20,pedigree/pedigree34,20,rnn10,reduce_nn,10,49.5,exact,p1-00004950,3
pedigree34_iB20,pedigree/pedigree34,20,rnn12,reduce_nn,12,77.5,exact,p1-00007750,3
pedigree34_iB20,pedigree/pedigree34,20,rnn14,reduce_nn,14,77.5,nearest,p1-00007750,3
pedigree34_iB20,pedigree/pedigree34,20,rnn2,reduce_nn,2,122.7,exact,p1-00012270,3
pedigree34_iB20,pedigree/pedigree34,20,rnn4,reduce_nn,4,34.2,exact,p1-00003420,3
pedigree34_iB20,pedigree/pedigree34,20,rnn6,reduce_nn,6,117.0,exact,p1-00011700,3
pedigree34_iB20,pedigree/pedigree34,20,rnn8,reduce_nn,8,63.8,exact,p1-00006380,3
pedigree34_iB20,pedigree/pedigree34,20,sub10,subsumption,10,70.4,exact,p1-00007040,3
pedigree34_iB20,pedigree/pedigree34,20,sub12,subsumption,12,73.0,exact,p1-00007300,3
pedigree34_iB20,pedigree/pedigree34,20,sub14,subsumption,14,86.5,exact,p1-00008650,3
pedigree34_iB20,pedigree/pedigree34,20,sub2,subsumption,2,146.5,exact,p1-00014650,3
pedigree34_iB20,pedigree/pedigree34,20,sub4,subsumption,4,109.7,exact,p1-00010970,3
pedigree34_iB20,pedigree/pedigree34,20,sub6,subsumption,6,79.7,exact,p1-00007970,3
pedigree34_iB20,pedigree/pedigree34,20,sub8,subsumption,8,82.5,exact,p1-00008250,3
pedigree7_iB20,pedigree/pedigree7,20,nomerge,nomerge,,308.4,exact,p1-00030840,3
pedigree7_iB20,pedigree/pedigree7,20,nonsub12,non_subsumption,12,266.3,exact,p1-00026630,3
pedigree7_iB20,pedigree/pedigree7,20,rnn10,reduce_nn,10,55.0,exact,p1-00005500,3
pedigree7_iB20,pedigree/pedigree7,20,rnn12,reduce_nn,12,54.5,exact,p1-00005450,3
pedigree7_iB20,pedigree/pedigree7,20,rnn14,reduce_nn,14,75.8,exact,p1-00007580,3
pedigree7_iB20,pedigree/pedigree7,20,rnn2,reduce_nn,2,133.9,exact,p1-00013390,3
pedigree7_iB20,pedigree/pedigree7,20,rnn4,reduce_nn,4,16.5,exact,p1-00001650,3
pedigree7_iB20,pedigree/pedigree7,20,rnn6,reduce_nn,6,14.0,exact,p1-00001400,3
pedigree7_iB20,pedigree/pedigree7,20,rnn8,reduce_nn,8,8.7,exact,p1-00000870,3
pedigree7_iB20,pedigree/pedigree7,20,sub10,subsumption,10,24.1,exact,p1-00002410,3
pedigree7_iB20,pedigree/pedigree7,20,sub12,subsumption,12,28.2,exact,p1-00002820,3
pedigree7_iB20,pedigree/pedigree7,20,sub14,subsumption,14,31.5,exact,p1-00003150,3
pedigree7_iB20,pedigree/pedigree7,20,sub2,subsumption,2,175.4,exact,p1-00017540,3
pedigree7_iB20,pedigree/pedigree7,20,sub4,subsumption,4,29.5,exact,p1-00002950,3
pedigree7_iB20,pedigree/pedigree7,20,sub6,subsumption,6,26.2,exact,p1-00002620,3
pedigree7_iB20,pedigree/pedigree7,20,sub8,subsumption,8,27.1,exact,p1-00002710,3
pedigree19_iB20,pedigree/pedigree19,20,nomerge,nomerge,,145.5,exact,p1-00014550,3
pedigree19_iB20,pedigree/pedigree19,20,nonsub12,non_subsumption,12,138.1,exact,p1-00013810,3
pedigree19_iB20,pedigree/pedigree19,20,rnn10,reduce_nn,10,16.6,exact,p1-00001660,3
pedigree19_iB20,pedigree/pedigree19,20,rnn12,reduce_nn,12,13.4,exact,p1-00001340,3
pedigree19_iB20,pedigree/pedigree19,20,rnn14,reduce_nn,14,10.3,exact,p1-00001030,3
pedigree19_iB20,pedigree/pedigree19,20,rnn2,reduce_nn,2,67.7,exact,p1-00006770,3
pedigree19_iB20,pedigree/pedigree19,20,rnn4,reduce_nn,4,31.3,exact,p1-00003130,3
pedigree19_iB20,pedigree/pedigree19,20,rnn6,reduce_nn,6,64.1,exact,p1-00006410,3
pedigree19_iB20,pedigree/pedigree19,20,rnn8,reduce_nn,8,35.4,exact,p1-00003540,3
pedigree19_iB20,pedigree/pedigree19,20,sub10,subsumption,10,65.7,exact,p1-00006570,3
pedigree19_iB20,pedigree/pedigree19,20,sub12,subsumption,12,72.5,exact,p1-00007250,3
pedigree19_iB20,pedigree/pedigree19,20,sub14,subsumption,14,65.1,nearest,p1-00006510,3
pedigree19_iB20,pedigree/pedigree19,20,sub2,subsumption,2,76.0,exact,p1-00007600,3
pedigree19_iB20,pedigree/pedigree19,20,sub4,subsumption,4,87.5,exact,p1-00008750,3
pedigree19_iB20,pedigree/pedigree19,20,sub6,subsumption,6,74.3,exact,p1-00007430,3
pedigree19_iB20,pedigree/pedigree19,20,sub8,subsumption,8,67.9,exact,p1-00006790,3
grid40x40f10_iB20,grids/grid40x40.f10,20,nomerge,nomerge,,127.7,exact,p1-00012770,3
grid40x40f10_iB20,grids/grid40x40.f10,20,nonsub12,non_subsumption,12,89.4,cellmean,p1-00008940,3
grid40x40f10_iB20,grids/grid40x40.f10,20,rnn10,reduce_nn,10,20.7,nearest,p1-00002070,3
grid40x40f10_iB20,grids/grid40x40.f10,20,rnn12,reduce_nn,12,20.7,exact,p1-00002070,3
grid40x40f10_iB20,grids/grid40x40.f10,20,rnn14,reduce_nn,14,20.7,nearest,p1-00002070,3
grid40x40f10_iB20,grids/grid40x40.f10,20,rnn2,reduce_nn,2,25.9,nearest,p1-00002590,3
grid40x40f10_iB20,grids/grid40x40.f10,20,rnn4,reduce_nn,4,25.9,exact,p1-00002590,3
grid40x40f10_iB20,grids/grid40x40.f10,20,rnn6,reduce_nn,6,17.1,exact,p1-00001710,3
grid40x40f10_iB20,grids/grid40x40.f10,20,rnn8,reduce_nn,8,28.7,exact,p1-00002870,3
grid40x40f10_iB20,grids/grid40x40.f10,20,sub10,subsumption,10,27.0,nearest,p1-00002700,3
grid40x40f10_iB20,grids/grid40x40.f10,20,sub12,subsumption,12,27.0,exact,p1-00002700,3
grid40x40f10_iB20,grids/grid40x40.f10,20,sub14,subsumption,14,27.0,nearest,p1-00002700,3
grid40x40f10_iB20,grids/grid40x40.f10,20,sub2,subsumption,2,34.5,nearest,p1-00003450,3
grid40x40f10_iB20,grids/grid40x40.f10,20,sub4,subsumption,4,34.5,exact,p1-00003450,3
grid40x40f10_iB20,grids/grid40x40.f10,20,sub6,subsumption,6,28.7,nearest,p1-00002870,3
grid40x40f10_iB20,grids/grid40x40.f10,20,sub8,subsumption,8,28.7,exact,p1-00002870,3
grid40x40f5_iB20,grids/grid40x40.f5,20,nomerge,nomerge,,137.4,exact,p1-00013740,3
grid40x40f5_iB20,grids/grid40x40.f5,20,nonsub12,non_subsumption,12,95.175,cellmean,p1-00009518,3
grid40x40f5_iB20,grids/grid40x40.f5,20,rnn10,reduce_nn,10,20.9,nearest,p1-00002090,3
grid40x40f5_iB20,grids/grid40x40.f5,20,rnn12,reduce_nn,12,20.9,exact,p1-00002090,3
grid40x40f5_iB20,grids/grid40x40.f5,20,rnn14,reduce_nn,14,20.9,nearest,p1-00002090,3
grid40x40f5_iB20,grids/grid40x40.f5,20,rnn2,reduce_nn,2,26.7,nearest,p1-00002670,3
grid40x40f5_iB20,grids/grid40x40.f5,20,rnn4,reduce_nn,4,26.7,exact,p1-00002670,3
grid40x40f5_iB20,grids/grid40x40.f5,20,rnn6,reduce_nn,6,17.7,exact,p1-00001770,3
grid40x40f5_iB20,grids/grid40x40.f5,20,rnn8,reduce_nn,8,29.5,exact,p1-00002950,3
grid40x40f5_iB20,grids/grid40x40.f5,20,sub10,subsumption,10,28.3,nearest,p1-00002830,3
grid40x40f5_iB20,grids/grid40x40.f5,20,sub12,subsumption,12,28.3,exact,p1-00002830,3
grid40x40f5_iB20,grids/grid40x40.f5,20,sub14,subsumption,14,28.3,nearest,p1-00002830,3
grid40x40f5_iB20,grids/grid40x40.f5,20,sub2,subsumption,2,34.7,nearest,p1-00003470,3
grid40x40f5_iB20,grids/grid40x40.f5,20,sub4,subsumption,4,34.7,exact,p1-00003470,3
grid40x40f5_iB20,grids/grid40x40.f5,20,sub6,subsumption,6,29.2,nearest,p1-00002920,3
grid40x40f5_iB20,grids/grid40x40.f5,20,sub8,subsumption,8,29.2,exact,p1-00002920,3
grid40x40f2_iB20,grids/grid40x40.f2,20,nomerge,nomerge,,131.2,exact,p1-00013120,3
grid40x40f2_iB20,grids/grid40x40.f2,20,nonsub12,non_subsumption,12,90.4,cellmean,p1-00009040,3
grid40x40f2_iB20,grids/grid40x40.f2,20,rnn10,reduce_nn,10,21.4,nearest,p1-00002140,3
grid40x40f2_iB20,grids/grid40x40.f2,20,rnn12,reduce_nn,12,21.4,exact,p1-00002140,3
grid40x40f2_iB20,grids/grid40x40.f2,20,rnn14,reduce_nn,14,21.4,nearest,p1-00002140,3
grid40x40f2_iB20,grids/grid40x40.f2,20,rnn2,reduce_nn,2,27.9,nearest,p1-00002790,3
grid40x40f2_iB20,grids/grid40x40.f2,20,rnn4,reduce_nn,4,27.9,exact,p1-00002790,3
grid40x40f2_iB20,grids/grid40x40.f2,20,rnn6,reduce_nn,6,17.6,exact,p1-00001760,3
grid40x40f2_iB20,grids/grid40x40.f2,20,rnn8,reduce_nn,8,35.7,exact,p1-00003570,3
grid40x40f2_iB20,grids/grid40x40.f2,20,sub10,subsumption,10,26.8,nearest,p1-00002680,3
grid40x40f2_iB20,grids/grid40x40.f2,20,sub12,subsumption,12,26.8,exact,p1-00002680,3
grid40x40f2_iB20,grids/grid40x40.f2,20,sub14,subsumption,14,26.8,nearest,p1-00002680,3
grid40x40f2_iB20,grids/grid40x40.f2,20,sub2,subsumption,2,35.6,nearest,p1-00003560,3
grid40x40f2_iB20,grids/grid40x40.f2,20,sub4,subsumption,4,35.6,exact,p1-00003560,3
grid40x40f2_iB20,grids/grid40x40.f2,20,sub6,subsumption,6,29.9,nearest,p1-00002990,3
grid40x40f2_iB20,grids/grid40x40.f2,20,sub8,subsumption,8,29.9,exact,p1-00002990,3
grid40x40f15_iB20,grids/grid40x40.f15,20,nomerge,nomerge,,130.1,exact,p1-00013010,3
grid40x40f15_iB20,grids/grid40x40.f15,20,nonsub12,non_subsumption,12,88.85,cellmean,p1-00008885,3
grid40x40f15_iB20,grids/grid40x40.f15,20,rnn10,reduce_nn,10,19.7,nearest,p1-00001970,3
grid40x40f15_iB20,grids/grid40x40.f15,20,rnn12,reduce_nn,12,19.7,exact,p1-00001970,3
grid40x40f15_iB20,grids/grid40x40.f15,20,rnn14,reduce_nn,14,19.7,nearest,p1-00001970,3
grid40x40f15_iB20,grids/grid40x40.f15,20,rnn2,reduce_nn,2,26.8,nearest,p1-00002680,3
grid40x40f15_iB20,grids/grid40x40.f15,20,rnn4,reduce_nn,4,26.8,exact,p1-00002680,3
grid40x40f15_iB20,grids/grid40x40.f15,20,rnn6,reduce_nn,6,17.6,exact,p1-00001760,3
grid40x40f15_iB20,grids/grid40x40.f15,20,rnn8,reduce_nn,8,29.8,exact,p1-00002980,3
grid40x40f15_iB20,grids/grid40x40.f15,20,sub10,subsumption,10,26.9,nearest,p1-00002690,3
grid40x40f15_iB20,grids/grid40x40.f15,20,sub12,subsumption,12,26.9,exact,p1-00002690,3
grid40x40f15_iB20,grids/grid40x40.f15,20,sub14,subsumption,14,26.9,nearest,p1-00002690,3
grid40x40f15_iB20,grids/grid40x40.f15,20,sub2,subsumption,2,33.9,nearest,p1-00003390,3
grid40x40f15_iB20,grids/grid40x40.f15,20,sub4,subsumption,4,33.9,exact,p1-00003390,3
grid40x40f15_iB20,grids/grid40x40.f15,20,sub6,subsumption,6,28.8,nearest,p1-00002880,3
grid40x40f15_iB20,grids/grid40x40.f15,20,sub8,subsumption,8,28.8,exact,p1-00002880,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,nomerge,nomerge,,119.3,exact,p1-00011930,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,nonsub12,non_subsumption,12,93.91,cellmean,p1-00009391,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,rnn10,reduce_nn,10,45.2,nearest,p1-00004520,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,rnn12,reduce_nn,12,47.7,exact,p1-00004770,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,rnn14,reduce_nn,14,47.7,nearest,p1-00004770,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,rnn2,reduce_nn,2,37.0,nearest,p1-00003700,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,rnn4,reduce_nn,4,37.0,exact,p1-00003700,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,rnn6,reduce_nn,6,27.1,exact,p1-00002710,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,rnn8,reduce_nn,8,45.2,exact,p1-00004520,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,sub10,subsumption,10,26.4,nearest,p1-00002640,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,sub12,subsumption,12,32.5,exact,p1-00003250,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,sub14,subsumption,14,32.5,nearest,p1-00003250,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,sub2,subsumption,2,33.5,nearest,p1-00003350,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,sub4,subsumption,4,33.5,exact,p1-00003350,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,sub6,subsumption,6,26.4,nearest,p1-00002640,3
grid40x40f10wrap_iB20,grids/grid40x40.f10.wrap,20,sub8,subsumption,8,26.4,exact,p1-00002640,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,nomerge,nomerge,,121.5,exact,p1-00012150,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,nonsub12,non_subsumption,12,94.45,cellmean,p1-00009445,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,rnn10,reduce_nn,10,43.1,nearest,p1-00004310,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,rnn12,reduce_nn,12,48.7,exact,p1-00004870,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,rnn14,reduce_nn,14,48.7,nearest,p1-00004870,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,rnn2,reduce_nn,2,37.7,nearest,p1-00003770,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,rnn4,reduce_nn,4,37.7,exact,p1-00003770,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,rnn6,reduce_nn,6,27.8,exact,p1-00002780,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,rnn8,reduce_nn,8,43.1,exact,p1-00004310,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,sub10,subsumption,10,26.1,nearest,p1-00002610,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,sub12,subsumption,12,34.6,exact,p1-00003460,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,sub14,subsumption,14,34.6,nearest,p1-00003460,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,sub2,subsumption,2,34.6,nearest,p1-00003460,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,sub4,subsumption,4,34.6,exact,p1-00003460,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,sub6,subsumption,6,26.1,nearest,p1-00002610,3
grid40x40f5wrap_iB20,grids/grid40x40.f5.wrap,20,sub8,subsumption,8,26.1,exact,p1-00002610,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,nomerge,nomerge,,123.8,exact,p1-00012380,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,nonsub12,non_subsumption,12,95.23,cellmean,p1-00009523,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,rnn10,reduce_nn,10,39.4,nearest,p1-00003940,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,rnn12,reduce_nn,12,48.7,exact,p1-00004870,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,rnn14,reduce_nn,14,48.7,nearest,p1-00004870,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,rnn2,reduce_nn,2,40.6,nearest,p1-00004060,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,rnn4,reduce_nn,4,40.6,exact,p1-00004060,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,rnn6,reduce_nn,6,28.0,exact,p1-00002800,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,rnn8,reduce_nn,8,39.4,exact,p1-00003940,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,sub10,subsumption,10,28.4,nearest,p1-00002840,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,sub12,subsumption,12,32.4,exact,p1-00003240,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,sub14,subsumption,14,32.4,nearest,p1-00003240,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,sub2,subsumption,2,37.4,nearest,p1-00003740,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,sub4,subsumption,4,37.4,exact,p1-00003740,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,sub6,subsumption,6,28.4,nearest,p1-00002840,3
grid40x40f2wrap_iB20,grids/grid40x40.f2.wrap,20,sub8,subsumption,8,28.4,exact,p1-00002840,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,nomerge,nomerge,,121.9,exact,p1-00012190,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,nonsub12,non_subsumption,12,95.78,cellmean,p1-00009578,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,rnn10,reduce_nn,10,44.0,nearest,p1-00004400,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,rnn12,reduce_nn,12,48.7,exact,p1-00004870,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,rnn14,reduce_nn,14,48.7,nearest,p1-00004870,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,rnn2,reduce_nn,2,40.9,nearest,p1-00004090,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,rnn4,reduce_nn,4,40.9,exact,p1-00004090,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,rnn6,reduce_nn,6,25.3,exact,p1-00002530,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,rnn8,reduce_nn,8,44.0,exact,p1-00004400,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,sub10,subsumption,10,23.2,nearest,p1-00002320,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,sub12,subsumption,12,31.5,exact,p1-00003150,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,sub14,subsumption,14,31.5,nearest,p1-00003150,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,sub2,subsumption,2,32.9,nearest,p1-00003290,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,sub4,subsumption,4,32.9,exact,p1-00003290,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,sub6,subsumption,6,23.2,nearest,p1-00002320,3
grid40x40f15wrap_iB20,grids/grid40x40.f15.wrap,20,sub8,subsumption,8,23.2,exact,p1-00002320,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,nomerge,nomerge,,7.8,exact,p1-00000780,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,nonsub12,non_subsumption,12,5.6,exact,p1-00000560,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,rnn10,reduce_nn,10,1.3,nearest,p1-00000130,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,rnn12,reduce_nn,12,2.1,exact,p1-00000210,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,rnn14,reduce_nn,14,0.5,exact,p1-00000050,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,rnn2,reduce_nn,2,4.3,exact,p1-00000430,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,rnn4,reduce_nn,4,6.7,exact,p1-00000670,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,rnn6,reduce_nn,6,3.4,exact,p1-00000340,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,rnn8,reduce_nn,8,1.3,exact,p1-00000130,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,sub10,subsumption,10,4.3,exact,p1-00000430,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,sub12,subsumption,12,4.2,exact,p1-00000420,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,sub14,subsumption,14,4.0,exact,p1-00000400,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,sub2,subsumption,2,6.3,exact,p1-00000630,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,sub4,subsumption,4,4.8,exact,p1-00000480,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,sub6,subsumption,6,4.7,exact,p1-00000470,3
grid10x10f10wrap_iB10,grids/grid10x10.f10.wrap,10,sub8,subsumption,8,3.8,exact,p1-00000380,3
grid10x10f10_iB10,grids/grid10x10.f10,10,nomerge,nomerge,,2.1,exact,p1-00000210,3
grid10x10f10_iB10,grids/grid10x10.f10,10,nonsub12,non_subsumption,12,1.8,exact,p1-00000180,3
grid10x10f10_iB10,grids/grid10x10.f10,10,rnn10,reduce_nn,10,0.0,nearest,p1-00000000,3
grid10x10f10_iB10,grids/grid10x10.f10,10,rnn12,reduce_nn,12,0.0,exact,p1-00000000,3
grid10x10f10_iB10,grids/grid10x10.f10,10,rnn14,reduce_nn,14,0.0,nearest,p1-00000000,3
grid10x10f10_iB10,grids/grid10x10.f10,10,rnn2,reduce_nn,2,1.2,exact,p1-00000120,3
grid10x10f10_iB10,grids/grid10x10.f10,10,rnn4,reduce_nn,4,0.4,exact,p1-00000040,3
grid10x10f10_iB10,grids/grid10x10.f10,10,rnn6,reduce_nn,6,0.0,exact,p1-00000000,3
